"salefactid","saleid","saledate","customer.customerid","customer.firstname","customer.lastname","customer.phone","customer.address","customer.city","customer.state","customer.zipcode","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","quantity","saleprice","salestax"
390,162,"2004-03-10",22,"Inga","Adkins","(706) 977-4337","8831 Cardinal Lane","Dalton","GA","30720",,"","","","","","","",,36,"Leash",172,22,"Dog",2,19.8,30.31
391,163,"2004-09-30",63,"Earl","Grimes","(301) 485-6261","6485 Pepper Street","Frederick","MD","21701",170,"Sarah","Dog","Poodle","2004-03-15","Female","AKC","White",250.81,,"",,,"",1,225.73,13.54
392,164,"2004-05-30",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",180,"","Fish","Angel","2004-04-01","Female","","Yellow",27,,"",,,"",1,24.3,14.47
393,164,"2004-05-30",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",184,"","Fish","Tetra","2004-05-21","Male","","Black/Blue",25,,"",,,"",1,22.5,14.47
394,164,"2004-05-30",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,24,"Aquarium-100 gal",11,150,"Fish",1,135,14.47
395,164,"2004-05-30",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,26,"Aquarium Decoration",48,6,"Fish",1,5.4,14.47
396,164,"2004-05-30",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,14.47
397,164,"2004-05-30",47,"Bernice","Carver","(804) 020-5842","8170 Roberts Road","Chesapeake","VA","23320",,"","","","","","","",,28,"Aquarium Light",65,25,"Fish",1,22.5,14.47
398,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",178,"Leisha","Dog","Scottish Terrier","2004-05-26","Female","AKC","Gray",164.63,,"",,,"",1,148.17,31.23
399,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",185,"Ricardo","Dog","Airedale","2004-06-21","Male","AKC","Gray",164.14,,"",,,"",1,147.73,31.23
400,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",1,40.5,31.23
401,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,99,31.23
402,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",1,27,31.23
403,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",,"","","","","","","",,31,"Flea Collar-Dog-Large",1018,8.5,"Dog",1,7.65,31.23
404,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",,"","","","","","","",,32,"Collar-Dog-Small",47,12,"Dog",1,10.8,31.23
405,165,"2004-03-16",33,"Colleen","Latham","(314) 510-5228","2864 Dolhous Drive","O’Fallon","MO","63366",,"","","","","","","",,36,"Leash",172,22,"Dog",2,19.8,31.23
406,166,"2004-02-16",92,"Tim","Zeller","(608) 481-3369","9682 Ridge Top Road","Fitchburg","WI","53701",175,"Donald","Cat","Canadian Hairless","2004-07-09","Male","CFA","Brown",193.14,,"",,,"",1,173.83,10.43
407,167,"2004-03-10",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",187,"Martha","Dog","Poodle","2004-05-15","Female","","White",133.65,,"",,,"",1,120.29,20.59
408,167,"2004-03-10",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",190,"Wendell","Dog","Minature Pinschers","2004-03-30","Male","AKC","Red",163.6,,"",,,"",1,147.24,20.59
409,167,"2004-03-10",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",2,14.4,20.59
410,167,"2004-03-10",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",,"","","","","","","",,33,"Collar-Dog-Medium",92,15,"Dog",2,13.5,20.59
411,167,"2004-03-10",60,"Lou Ann","Baez","(502) 029-3909","2528 Hot Springs Avenue","Campbellsville","KY","42718",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,20.59
412,168,"2004-01-23",3,"Dwight","Logan","(617) 843-6488","1760 Clearview Street","Boston","MA","02109",177,"Jennifer","Dog","Siberian Huskie","2004-04-23","Female","AKC","White",205.75,,"",,,"",1,185.18,17.05
413,168,"2004-01-23",3,"Dwight","Logan","(617) 843-6488","1760 Clearview Street","Boston","MA","02109",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,99,17.05
414,169,"2004-02-25",84,"David","Sims","(617) 467-3438","6623 Glenview Drive","Boston","MA","02116",179,"Cassy","Dog","Keeshond","2004-01-05","Female","AKC","Red",139.61,,"",,,"",1,125.65,7.54
415,170,"2004-02-27",21,"Sarah","Mills","(615) 646-9874","8904 Horseshoe Road","Smyrna","TN","37167",186,"Francis","Dog","Chinese Shar Pei","2004-01-29","Female","AKC","Brown",240.4,,"",,,"",1,216.37,16.44
416,170,"2004-02-27",21,"Sarah","Mills","(615) 646-9874","8904 Horseshoe Road","Smyrna","TN","37167",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",1,27,16.44
417,170,"2004-02-27",21,"Sarah","Mills","(615) 646-9874","8904 Horseshoe Road","Smyrna","TN","37167",,"","","","","","","",,32,"Collar-Dog-Small",47,12,"Dog",1,10.8,16.44
418,170,"2004-02-27",21,"Sarah","Mills","(615) 646-9874","8904 Horseshoe Road","Smyrna","TN","37167",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,16.44
419,171,"2004-03-12",40,"Darrell","Oberhausen","(612) 089-0074","9556 Cumberland Hills Drive","Saint Paul","MN","55101",182,"Duane","Dog","Rottweiler","2004-05-28","Male","AKC","Red",218.49,,"",,,"",1,196.64,11.8
420,172,"2004-03-09",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",188,"Angela","Dog","Chow Chow","2004-06-26","Female","AKC","Yellow",234.97,,"",,,"",1,211.48,15.98
421,172,"2004-03-09",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,7,"Dog Toy",134,4,"Dog",1,14.4,15.98
422,172,"2004-03-09",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",1,2.7,15.98
423,172,"2004-03-09",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,34,"Collar-Dog-Large",132,20,"Dog",1,18,15.98
424,172,"2004-03-09",73,"Hershel","Keen","(603) 075-7437","8124 Industrial Drive","Nashua","NH","03060",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,15.98
425,173,"2004-02-25",2,"Brent","Cummings","(808) 801-9830","9197 Hatchet Drive","Honolulu","HI","96815",192,"Sally","Cat","American Shorthair","2004-06-26","Female","CFA","Black",196.87,,"",,,"",1,177.19,10.63
426,174,"2004-06-18",34,"Cathy","Hampton","(414) 168-2952","7295 Hazel Path","Milwaukee","WI","53203",201,"","Mammal","Hamster","2004-02-22","Male","","Brown",22,,"",,,"",1,19.8,5.78
427,174,"2004-06-18",34,"Cathy","Hampton","(414) 168-2952","7295 Hazel Path","Milwaukee","WI","53203",,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",1,9,5.78
428,174,"2004-06-18",34,"Cathy","Hampton","(414) 168-2952","7295 Hazel Path","Milwaukee","WI","53203",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,5.78
429,176,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",1,22.5,2.32
430,176,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",10,0.9,2.32
431,176,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,2.32
432,177,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,39,"Litter Box",131,8,"Cat",1,7.2,2.05
433,177,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",10,0.45,2.05
434,177,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",1,22.5,2.05
435,178,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",2,27,5.94
436,179,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",1,58.5,3.94
437,179,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",20,0.36,3.94
438,180,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",15,0.9,2.54
439,180,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",2,9,2.54
440,180,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,29,"Flea Collar-Cat",240,6,"Cat",2,5.4,2.54
441,181,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,24,"Aquarium-100 gal",11,150,"Fish",1,135,10.96
442,181,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,25,"Fish Food",113,3,"Fish",6,2.7,10.96
443,181,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,10.96
444,182,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",20,0.45,1.73
445,182,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,36,"Leash",172,22,"Dog",1,19.8,1.73
446,183,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,7,"Dog Toy",134,4,"Dog",1,3.6,2.32
447,183,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",2,14.4,2.32
448,183,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,30,"Flea Collar-Dog-Medium",429,7,"Dog",1,6.3,2.32
449,184,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",1,31.5,4.32
450,184,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",30,0.9,4.32
451,184,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,25,"Fish Food",113,3,"Fish",5,2.7,4.32
452,185,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,76.5,11.07
453,185,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",4,27,11.07
454,186,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",1,67.5,7.61
455,186,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,26,"Aquarium Decoration",48,6,"Fish",1,5.4,7.61
456,186,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,27,"Aquarium Filter + Pump",18,35,"Fish",1,31.5,7.61
457,186,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,28,"Aquarium Light",65,25,"Fish",1,22.5,7.61
458,187,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",5,22.5,13.23
459,187,"2004-01-08",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",50,0.9,13.23
460,188,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,58.5,14.31
461,188,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",6,27,14.31
462,188,"2004-02-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",25,0.72,14.31
463,189,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",30,0.45,8.91
464,189,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",2,67.5,8.91
465,190,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",1,99,8.42
466,190,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",20,0.72,8.42
467,190,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",30,0.9,8.42
468,191,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",1,31.5,4.27
469,191,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",20,0.9,4.27
470,191,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,19,"Cat Litter-10 pound",128,8,"Cat",3,7.2,4.27
471,192,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",1,76.5,11.93
472,192,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,7,"Dog Toy",134,4,"Dog",4,3.6,11.93
473,192,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",4,27,11.93
474,193,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",1,31.5,4.75
475,193,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,8,"Cat Toy",182,3,"Cat",1,2.7,4.75
476,194,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",3,16.2,4.37
477,194,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,29,"Flea Collar-Cat",240,6,"Cat",2,5.4,4.37
478,194,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,40,"Litter Box-Covered",20,15,"Cat",1,13.5,4.37
479,195,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",1,40.5,6.4
480,195,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",1,58.5,6.4
481,195,"2004-03-15",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,31,"Flea Collar-Dog-Large",1018,8.5,"Dog",1,7.65,6.4
482,196,"2004-01-01",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",1,22.5,1.62
483,196,"2004-01-01",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",10,0.45,1.62
484,197,"2004-01-12",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,38,"Brush-Soft",50,8,"Cat",1,7.2,0.43
485,198,"2000-05-05",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",3,0,3
486,198,"2000-05-05",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",1,0,3
487,198,"2000-05-05",1,"Walkin","Walkin","","","Unknown","AK","",,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",4,0,3
